"","V2","x","MaritalStatus","Children","LifeMeaning","ServiceAttend","ReligiousPerson","JustifyHomosexuality","JustifyAbortion","JustifyDivorce","PoliticalScale","country"
"1",32,-2,NA,15,NA,NA,NA,NA,NA,NA,94,"Argentina"
"2",32,-1,NA,NA,9,344,41,49,18,23,250,"Argentina"
"3",32,0,NA,287,NA,NA,NA,NA,NA,NA,NA,"Argentina"
"4",32,1,594,162,566,54,704,572,446,234,8,"Argentina"
"5",32,2,40,255,216,155,220,28,59,32,10,"Argentina"
"6",32,3,11,183,115,154,37,36,69,41,40,"Argentina"
"7",32,4,48,52,96,41,NA,33,55,32,57,"Argentina"
"8",32,5,66,23,NA,65,NA,103,162,126,330,"Argentina"
"9",32,6,243,25,NA,90,NA,34,42,56,73,"Argentina"
"10",32,7,NA,NA,NA,99,NA,48,37,66,57,"Argentina"
"11",32,8,NA,NA,NA,NA,NA,44,41,98,45,"Argentina"
"12",32,9,NA,NA,NA,NA,NA,10,23,51,12,"Argentina"
"13",32,10,NA,NA,NA,NA,NA,45,50,243,26,"Argentina"
"14",76,-2,NA,3,NA,NA,NA,NA,NA,NA,NA,"Brazil"
"15",76,-1,NA,NA,16,NA,10,18,5,18,283,"Brazil"
"16",76,0,NA,579,NA,NA,NA,NA,NA,NA,NA,"Brazil"
"17",76,1,907,264,761,225,1552,1225,1141,560,180,"Brazil"
"18",76,2,118,328,500,375,197,53,76,51,56,"Brazil"
"19",76,3,45,246,165,294,23,59,89,83,125,"Brazil"
"20",76,4,73,122,340,69,NA,43,55,62,105,"Brazil"
"21",76,5,103,69,NA,124,NA,197,238,366,471,"Brazil"
"22",76,6,536,171,NA,104,NA,29,53,84,105,"Brazil"
"23",76,7,NA,NA,NA,398,NA,23,31,82,84,"Brazil"
"24",76,8,NA,NA,NA,193,NA,37,37,103,93,"Brazil"
"25",76,9,NA,NA,NA,NA,NA,19,9,38,30,"Brazil"
"26",76,10,NA,NA,NA,NA,NA,79,48,335,250,"Brazil"
"27",152,-2,NA,12,NA,NA,NA,23,8,13,NA,"Chile"
"28",152,-1,NA,NA,12,NA,58,NA,NA,NA,196,"Chile"
"29",152,0,NA,400,NA,NA,NA,NA,NA,NA,NA,"Chile"
"30",152,1,816,268,795,179,1108,1136,1125,686,108,"Chile"
"31",152,2,86,304,398,237,289,63,81,62,58,"Chile"
"32",152,3,9,215,224,281,45,62,67,82,108,"Chile"
"33",152,4,70,122,71,65,NA,38,38,108,119,"Chile"
